shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_914339,39.631472,-106.524479,402,7341.5274967
p_914339,39.631204,-106.524646,403,7374.5568375
p_914339,39.630727,-106.524735,404,7428.06532729
p_914339,39.631452,-106.524461,405,7511.92705082
p_914339,39.631171,-106.523116,406,7631.53764994
p_914339,39.631143,-106.522987,407,7643.04055023
p_914339,39.631103,-106.522835,408,7656.8250074
p_914339,39.631008,-106.522799,409,7667.81611332
p_914339,39.630938,-106.522589,410,7687.44881614
p_914339,39.631015,-106.522455,411,7701.78173653
p_914339,39.631297,-106.522454,412,7733.09162419
p_914339,39.631431,-106.522429,413,7748.12333282
p_914339,39.632088,-106.52232,414,7821.66622022
p_914339,39.632288,-106.522323,415,7843.87322833
p_914339,39.632324,-106.522412,416,7852.49619983
p_914339,39.632371,-106.522525,417,7863.51169444
p_914339,39.632395,-106.522588,418,7869.54102677
p_914339,39.63243,-106.522666,419,7877.28319315
p_914339,39.63246,-106.522712,420,7882.44940843
p_914339,39.632481,-106.52273,421,7885.24658708
p_914339,39.63251,-106.522753,422,7889.02361599
p_914339,39.632544,-106.522768,423,7893.01215564
p_914339,39.632604,-106.52277,424,7899.6760228
p_914339,39.632632,-106.522757,425,7902.97905546
p_914339,39.6327,-106.52274,426,7910.66869778
p_914339,39.632732,-106.522736,427,7914.23813718
p_914339,39.632773,-106.522723,428,7918.92508191
p_914339,39.63281,-106.522725,429,7923.03668914
p_914339,39.632849,-106.522731,430,7927.39729475
p_914339,39.632888,-106.522745,431,7931.89107945
p_914339,39.632933,-106.52277,432,7937.32879489
p_914339,39.632977,-106.522811,433,7943.34996252
p_914339,39.633037,-106.522916,434,7954.55857213
p_914339,39.633055,-106.52296,435,7958.83203362
p_914339,39.633084,-106.523042,436,7966.57306264
p_914339,39.633121,-106.523133,437,7975.39958004
p_914339,39.633231,-106.52343,438,8003.67083073
p_914339,39.633326,-106.523708,439,8029.76370617
p_914339,39.633432,-106.524067,440,8062.75404428
p_914339,39.633506,-106.524397,441,8092.25143101
p_914339,39.633568,-106.524764,442,8124.50109481
p_914339,39.633592,-106.524872,443,8134.14805156
p_914339,39.6336,-106.52493,444,8139.20586821
p_914339,39.63362,-106.52499,445,8144.81503268
p_914339,39.63371,-106.52518,446,8163.94367776
p_914339,39.63377,-106.5253,447,8176.21171611
p_914339,39.6338,-106.52534,448,8180.99567899
p_914339,39.63383,-106.52539,449,8186.42883832
p_914339,39.63387,-106.52544,450,8192.6052606
p_914339,39.633915,-106.525505,451,8200.09527305
p_914339,39.63401,-106.525673,452,8217.96312494
p_914339,39.634111,-106.525951,453,8244.33208504999
p_914339,39.634224,-106.526282,454,8275.39416687
p_914339,39.63431,-106.526533,455,8298.96274458
p_914339,39.634378,-106.526725,456,8317.09231464
p_914339,39.63444,-106.5269,457,8333.61761299
p_914339,39.63456,-106.52728,458,8368.8554677
p_914339,39.63461,-106.52747,459,8386.08527054
p_914339,39.63474,-106.527888,460,8424.76341496
p_914339,39.63479,-106.527934,461,8431.57606202
p_914339,39.634855,-106.527962,462,8439.18263737
p_914339,39.63494,-106.527952,463,8448.65895039
p_914339,39.635,-106.52792,464,8455.86479735
